scorer,DLC_resnet50_BehaviorJul7,DLC_resnet50_BehaviorJul7,DLC_resnet50_BehaviorJul7
bodyparts,paw_front_left,paw_front_left,paw_front_left
coords,x,y,likelihood
0,-1.5072258203839384,-1.3412597272367377,0.99
1,-0.556717897857163,0.5385031566390435,0.99
2,0.42876125888076383,1.554282441611026,0.99
3,0.7704635956872266,1.3697811019623787,0.99
4,2.1934495502883857,0.7344258528096671,0.99
5,0.9557039711138672,1.4224229552858216,0.99
6,-0.0567885958862771,0.053384272479021756,0.99
7,-0.8904357529426612,0.628102969833705,0.99
8,-0.564289852719019,-0.6807755663251802,0.99
9,-0.5927028229571063,0.29226545615571214,0.99
10,0.6552336285137607,1.3295342439705244,0.99
11,0.2569974455858305,-0.589423411486891,0.99
12,-1.323649570842179,-0.8614434294642864,0.99
13,-0.435901469090433,0.09748893902369685,0.99
14,0.8775475534514207,-0.22666220372399956,0.99
15,0.351662354974059,0.6491477210704204,0.99
16,0.5686446160127705,-0.45325952594704233,0.99
17,0.38292171005726305,1.7184396156027142,0.99
18,1.6264307346088593,-1.2896760979610558,0.99
19,0.23604306382437004,1.2537347862197346,0.99
20,-0.386022797870698,-0.7648492283081031,0.99
21,-0.9157550411335605,-1.7959827345840234,0.99
22,0.24960945820971187,0.23787515634886738,0.99
23,-2.4407040147750845,-0.25460798601388357,0.99
24,-0.18428900183271194,-1.1096093679030308,0.99
25,-0.20583985992134396,-1.681376891715264,0.99
26,-1.364470853617281,-0.008360787271456756,0.99
27,-0.9282658386559959,0.9758368916238175,0.99
28,0.8096575301482412,0.5849534930864443,0.99
29,0.23071174907496253,0.056706648839265496,0.99
30,0.1017883337073275,0.4788475732177351,0.99
31,0.30634753393202263,-0.027214132377857005,0.99
32,0.09262758794892355,-1.4297242430303712,0.99
33,1.2428625628583145,-1.4208939852234432,0.99
34,0.12342918170364875,-0.20316852898467888,0.99
35,-1.4582131138187504,-0.16065328636607445,0.99
36,1.6301299648744103,0.8509826785067651,0.99
37,0.37034026732884573,0.7573042237747472,0.99
38,-0.5892537307950677,0.6051330157589494,0.99
39,-1.2534017182950186,-0.2802827130771807,0.99
40,0.3959142209580454,-1.3806521701101395,0.99
41,-0.11717200497437547,0.41207113706602394,0.99
42,1.5741467860324088,0.5251693132621684,0.99
43,-0.34590728066682785,-2.388531462477686,0.99
44,-0.8373807896824669,-0.8343381865826627,0.99
45,0.8957962182359285,-0.691054377393896,0.99
46,0.9252818927168314,0.11835020112343628,0.99
47,0.1686513676101955,-0.8033604327656939,0.99
48,0.6763570476749083,-0.03813456882464047,0.99
49,-0.0376871207422379,-0.2105349403529925,0.99
50,0.23386510100924698,-0.15914947153772793,0.99
51,1.164990882563923,-0.7163942937007461,0.99
52,0.6253183340215028,-0.6389850540666776,0.99
53,-0.16927443833262468,-1.0802670597806927,0.99
54,1.3523625459261508,0.380067440573832,0.99
55,-2.3648553727915127,0.5711026285913683,0.99
56,2.052073311421935,-0.7706179501253388,0.99
57,-1.7059590948907353,1.5206400960170445,0.99
58,-0.627092824772296,-0.3146014474420489,0.99
59,-0.04091753519506904,1.5301856237965608,0.99
60,-0.14648067072816137,-0.6421271738316033,0.99
61,1.0064110400265547,-2.0265777765994355,0.99
62,-1.0578366186102344,0.4021978249123513,0.99
63,0.2607668174830632,0.24854510511898723,0.99
64,-0.578212098219754,0.034393795307583075,0.99
65,0.2951409793374166,-0.6422324784439893,0.99
66,-0.06477225979787651,-0.034572225485819015,0.99
67,0.09293565268297786,-0.5112594578695273,0.99
68,-0.5499248324643456,-0.30234956633175064,0.99
69,-0.5100639500960824,0.841632255765075,0.99
70,0.28727251402742693,0.18421722953009348,0.99
71,0.9437155057560443,0.6099513873319773,0.99
72,-0.5982793341978477,-0.23186850662578992,0.99
73,-0.8687675445729097,-0.34201734580477505,0.99
74,0.613460165671837,-1.1534825308886436,0.99
75,-0.0325038930576894,-0.370036612568197,0.99
76,0.830498133985952,-3.321114555589139,0.99
77,-0.9057972133711476,-0.5902219663056348,0.99
78,-1.7794389254234309,-0.08187417719083909,0.99
79,-0.5330040818263343,0.5636736542701563,0.99
80,-0.766352609265016,-0.268677877524957,0.99
81,-0.07878840008029991,0.34767354224499963,0.99
82,-0.6368452142703895,-2.1797886613902455,0.99
83,0.7410169513364492,-0.056836852206949735,0.99
84,-0.28815026242251623,-1.6795027929134034,0.99
