scorer,DLC_resnet50_BehaviorJul7,DLC_resnet50_BehaviorJul7,DLC_resnet50_BehaviorJul7
bodyparts,paw_front_left,paw_front_left,paw_front_left
coords,x,y,likelihood
0,-0.34324433823748296,0.3452337138433557,0.99
1,0.5045820127634765,-0.16144855618607046,0.99
2,-0.06474303801620138,-0.5698178743533996,0.99
3,-0.5028660317194472,-0.3589167377460453,0.99
4,0.36894814531441095,0.5504360717000502,0.99
5,0.3942064348312495,0.5879264009941764,0.99
6,0.7036856772070345,0.26885357794171116,0.99
7,0.532697466484259,-0.5952999551643249,0.99
8,-0.6796007065105015,-0.5010705631075968,0.99
9,-0.23167481068824947,-0.8589902927612415,0.99
10,0.9268929967812295,0.12055376331111466,0.99
11,0.9618086328375679,-0.18403947812482155,0.99
12,0.5066420567220127,-0.8889823741298345,0.99
13,0.2500040435264865,1.036723731925253,0.99
14,0.4605655770357813,1.0086117346941337,0.99
15,0.4673311658737546,1.0509075785160227,0.99
16,-0.3978746486406517,1.1218700262895374,0.99
17,-1.214428729257484,-0.19044190830726018,0.99
18,-1.1527561689064603,0.5253362297558863,0.99
19,-0.33374342611458474,1.2593857719606658,0.99
20,-1.0203986249576584,-0.8643523541378674,0.99
21,0.8766109692729891,1.0528056858191728,0.99
22,-0.36663143762805345,1.3520320692830767,0.99
23,-0.9547053175995497,1.0644002896618394,0.99
24,-1.4016599797310705,0.39702102604313744,0.99
25,0.3248235964332465,-1.445667602761512,0.99
26,0.46784278510683164,1.4298929155029785,0.99
27,-1.5189715128739283,-0.13621658489364566,0.99
28,-1.2904513560358113,-0.8466768773867055,0.99
29,1.4935383347921967,0.4487123644065047,0.99
30,-1.2275418601410581,-0.9840145779715451,0.99
31,0.758863840773871,1.3912009434417862,0.99
32,1.4625499613468447,0.6334648593696375,0.99
33,1.5188058953589205,-0.5052749993242507,0.99
34,1.567867598895875,-0.34392831696659687,0.99
35,0.5766301052416738,-1.5003687491127504,0.99
36,-0.5407902718226191,1.51361782558899,0.99
37,1.312199270666877,0.9243506798289284,0.99
38,-0.6427822939523503,-1.465959375159311,0.99
39,-1.4828184472006083,0.5854465042802173,0.99
40,1.1419382027871452,1.1002085605391214,0.99
41,-1.5745607580932008,0.04773068002817482,0.99
42,1.5266723748271698,0.3350983659477665,0.99
43,1.3043148262042847,-0.8355771708925785,0.99
44,-0.08454729363480303,1.531035843142801,0.99
45,-0.7920382085627632,-1.2928951946490883,0.99
46,-0.5662660983504963,1.3864867010272746,0.99
47,-1.4661237894298826,-0.18585114768884467,0.99
48,-1.3946244058419857,-0.4214789674717237,0.99
49,0.5711133879945844,1.3164608914153548,0.99
50,1.386543604719424,-0.26824958272304145,0.99
51,0.2184041844885338,-1.3715406047555538,0.99
52,1.2674303812317007,-0.5064326381581021,0.99
53,1.0583453728816874,-0.8227772286820091,0.99
54,-1.074799696019853,-0.7594243544804475,0.99
55,1.138974183713782,-0.6088014233111106,0.99
56,1.0761947381365302,0.6687599812512335,0.99
57,0.4138042219171534,1.172045429124948,0.99
58,1.1704190155758991,0.3418514668332561,0.99
59,-0.5453391446279195,1.0648189660348284,0.99
60,-0.8984738560563439,0.75594695099645,0.99
61,-0.15420278689457134,1.142663487385886,0.99
62,0.5379434949838865,-0.9971714788203573,0.99
63,-0.6926505489399813,0.8729306563572686,0.99
64,-0.21191421274873168,1.076512892634933,0.99
65,-1.0429652183247395,-0.2867045907404994,0.99
66,0.6759486238520811,0.8268107601706132,0.99
67,0.34022556919540814,-0.9999258425218946,0.99
68,0.9338770995149177,0.472517683197925,0.99
69,1.0357458051967658,-0.08553059533507117,0.99
70,0.14409681998377305,-1.0242492762422901,0.99
71,0.32679638185272164,0.9788282466891304,0.99
72,1.0315904036225318,0.03580693097770633,0.99
73,0.4139082029130535,-0.9489278030175836,0.99
74,-0.2788050534095244,-1.0032062465005902,0.99
75,-0.13812055604842022,-1.0410665982197231,0.99
76,0.1415427299629477,-1.0527776034926253,0.99
77,0.9629764084567627,0.4834020272865273,0.99
78,-0.6904494575986844,0.8511853180053567,0.99
79,0.8344652903529594,0.7438175325419732,0.99
80,0.7456663197950572,-0.8663898290786974,0.99
81,-0.83737104532531,-0.8196515218938377,0.99
82,-0.5859282917890389,1.0516991720761402,0.99
83,1.1420113507921323,0.4819584074215007,0.99
84,-0.4780498035999653,1.1859769711928585,0.99
